Scenario,Expected Baseline,Expected Conflict,Predicted Baseline Semantic,Semantic Baseline,Predicted Conflict Semantic,Semantic Conflict,Predicted Baseline SVM,SVM Baseline,Predicted Conflict SVM,SVM Conflict,Predicted Baseline LLM,LLM Baseline,Predicted Conflict LLM,LLM Conflict
duplicate_food,"['My favorite food is sushi.', 'My favorite food is sushi.']",['My favorite food is sushi.'],"['My favorite food is sushi.', 'My favorite food is sushi.']",True,['My favorite food is sushi.'],True,"['My favorite food is sushi.', 'My favorite food is sushi.']",True,['My favorite food is sushi.'],True,"['The user’s favorite food is sushi.', 'The user’s favorite food is sushi.']",False,['The user’s favorite food is sushi.'],False
duplicate_city,"['I live in Boston.', 'I live in Boston.']",['I live in Boston.'],"['I live in Boston.', 'I live in Boston.']",True,['I live in Boston.'],True,[],False,[],False,"['The user lives in Boston.', 'The user lives in Boston.']",False,['The user lives in Boston.'],False
move_city,"['I live in Boston.', 'I moved to Seattle.']",['I moved to Seattle.'],"['I live in Boston.', 'I moved to Seattle.']",True,['I now live in Seattle.'],False,['I moved to Seattle.'],False,['I moved to Seattle.'],True,"['The user lives in Boston.', 'The user has moved to Seattle.']",False,['The user has moved to Seattle.'],False
favorite_food_changed,"['My favorite food is sushi.', 'My favorite food is ramen.']",['My favorite food is ramen.'],"['My favorite food is sushi.', 'Actually my favorite food is ramen.']",False,['My favorite food is ramen.'],True,"['My favorite food is sushi.', 'Actually my favorite food is ramen.']",False,['My favorite food is ramen.'],True,"['The user’s favorite food is sushi.', ""The user's favorite food is ramen.""]",False,['The user prefers ramen as their favorite food.'],False
job_changed,"['I work as a teacher.', 'I recently became a software engineer.']",['I recently became a software engineer.'],"['I work as a teacher.', 'I recently became a software engineer.']",True,"['I work as a teacher.', 'I recently became a software engineer.']",False,"['I work as a teacher.', 'I recently became a software engineer.']",True,"['I work as a teacher.', 'I recently became a software engineer.']",False,"['The user works as a teacher.', 'The user recently became a software engineer.']",False,"['The user works as a teacher.', 'The user recently became a software engineer.']",False
pet_information,"['I have a dog.', 'His name is Max.']","['I have a dog.', 'His name is Max.']",['I have a dog.'],False,['I have a dog.'],False,['I have a dog.'],False,['I have a dog.'],False,['The user has a dog.'],False,['The user has a dog.'],False
family_information,"['I have two sisters.', 'One of them lives in New York.']","['I have two sisters.', 'One of them lives in New York.']","['I have two sisters.', 'One of them lives in New York.']",True,"['I have two sisters.', 'One of them lives in New York.']",True,['I have two sisters.'],False,['I have two sisters.'],False,['The user has two sisters.'],False,"['The user has two sisters.', 'The user mentioned that one of them lives in New York.']",False
location_and_hobby,"['I live in Boston.', 'I enjoy hiking on weekends.']","['I live in Boston.', 'I enjoy hiking on weekends.']","['I live in Boston.', 'I enjoy hiking on weekends.']",True,"['I live in Boston.', 'I enjoy hiking on weekends.']",True,['I enjoy hiking on weekends.'],False,['I enjoy hiking on weekends.'],False,"['The user lives in Boston.', 'The user enjoys hiking on weekends.']",False,"['The user lives in Boston.', 'The user enjoys hiking on weekends.']",False
random_preferences,"['My favorite color is blue.', 'I drink coffee every morning.']","['My favorite color is blue.', 'I drink coffee every morning.']","['My favorite color is blue.', 'I drink coffee every morning.']",True,"['My favorite color is blue.', 'I drink coffee every morning.']",True,"['My favorite color is blue.', 'I drink coffee every morning.']",True,"['My favorite color is blue.', 'I drink coffee every morning.']",True,"['The user’s favorite color is blue.', 'The user drinks coffee every morning.']",False,"['The user’s favorite color is blue.', 'The user drinks coffee every morning.']",False
birthday_and_music,"['My birthday is July 3.', 'I like jazz music.']","['My birthday is July 3.', 'I like jazz music.']","['My birthday is July 3.', 'I like jazz music.']",True,"['My birthday is July 3.', 'I like jazz music.']",True,"['My birthday is July 3.', 'I like jazz music.']",True,"['My birthday is July 3.', 'I like jazz music.']",True,"['The user’s birthday is on July 3.', 'The user likes jazz music.']",False,"[""The user's birthday is on July 3."", 'The user likes jazz music.']",False
mixed_conversation,"['I live in Boston.', 'I have a dog.', 'His name is Max.', 'I moved to Chicago.', 'My favorite food is sushi.', 'My favorite food is ramen.', 'I enjoy hiking.']","['I moved to Chicago.', 'I have a dog.', 'His name is Max.', 'My favorite food is ramen.', 'I enjoy hiking.']","['I live in Boston.', 'I have a dog.', 'Actually I moved to Chicago.', 'My favorite food is sushi.', 'Actually my favorite food is ramen.', 'I enjoy hiking.']",False,"['I have a dog.', 'I live in Chicago.', 'My favorite food is ramen.', 'I enjoy hiking.']",False,"['I have a dog.', 'My favorite food is sushi.', 'Actually my favorite food is ramen.', 'I enjoy hiking.']",False,"['I have a dog.', 'My favorite food is sushi.', 'Actually my favorite food is ramen.', 'I enjoy hiking.']",False,"['The user lives in Boston.', 'The user has a dog.', 'The user has moved to Chicago.', 'The user’s favorite food is sushi.', 'The user’s favorite food is ramen.', 'The user enjoys hiking.']",False,"['The user lives in Boston.', 'The user has a dog.', 'The user has moved to Chicago.', ""The user's favorite food is ramen."", 'The user enjoys hiking.']",False
